nome_tabela;Descrição;Top Domain;Domain;Subdomain;Data Owner;Data Steward;Classificação Segurança;Classificação Privacidade
colaborar_unopar_estagio_supervisor_pessoa;;Aliança;Aliança 2 - Jovem & Adulto;Kroton - Graduação;Luis Claudio Soares Muller;;Restrito;Identificável
colaborar_unopar_estagio_supervisor;;Aliança;Aliança 2 - Jovem & Adulto;Kroton - Graduação;Luis Claudio Soares Muller;;Restrito;Identificável
colaborar_unopar_estagio_documento;;Aliança;Aliança 2 - Jovem & Adulto;Kroton - Graduação;Luis Claudio Soares Muller;;Interno;Identificável
colaborar_unopar_estagio_dispensa;;Aliança;Aliança 2 - Jovem & Adulto;Kroton - Graduação;Luis Claudio Soares Muller;;Restrito;Identificável
colaborar_unopar_estagio_convenio;;Aliança;Aliança 2 - Jovem & Adulto;Kroton - Graduação;Luis Claudio Soares Muller;;Restrito;Identificável
colaborar_unopar_estagio;;Aliança;Aliança 2 - Jovem & Adulto;Kroton - Graduação;Luis Claudio Soares Muller;;Restrito;Identificável
colaborar_unopar_estagio_situacao_documento;;Aliança;Aliança 2 - Jovem & Adulto;Kroton - Graduação;Luis Claudio Soares Muller;;Restrito;Identificável
olimpo_producao_srdies;;Aliança;Aliança 2 - Jovem & Adulto;Kroton - Graduação;Luis Claudio Soares Muller;;Restrito;Identificável
colaborar_unopar_estagio_documento_tipo;;Aliança;Aliança 2 - Jovem & Adulto;Kroton - Graduação;Luis Claudio Soares Muller;;Interno;Identificável
colaborar_unopar_estagio_documeto_curso;;Aliança;Aliança 2 - Jovem & Adulto;Kroton - Graduação;Luis Claudio Soares Muller;;Interno;Identificável
colaborar_unopar_estagio_tramite;;Aliança;Aliança 2 - Jovem & Adulto;Kroton - Graduação;Luis Claudio Soares Muller;;Restrito;Identificável
olimpo_producao_empresatipodocumento;;Aliança;Aliança 2 - Jovem & Adulto;Kroton - Graduação;Luis Claudio Soares Muller;;Restrito;Identificável
olimpo_producao_empresadocumento;;Aliança;Aliança 2 - Jovem & Adulto;Kroton - Graduação;Luis Claudio Soares Muller;;Restrito;Identificável
olimpo_olpboundary_ibnotasenemkhubin;;Aliança;Aliança 2 - Jovem & Adulto;Kroton - Graduação;Luis Claudio Soares Muller;;Restrito;Identificável
colaborar_unopar_notas_enem_khub;;Aliança;Aliança 2 - Jovem & Adulto;Kroton - Graduação;Luis Claudio Soares Muller;;Restrito;Identificável
olimpo_producao_alundebc;;Aliança;Aliança 2 - Jovem & Adulto;Kroton - Graduação;Luis Claudio Soares Muller;;Restrito;Identificável
olimpo_producao_alunconv_del;;Aliança;Aliança 2 - Jovem & Adulto;Kroton - Graduação;Luis Claudio Soares Muller;;Restrito;Identificável
olimpo_producao_alunconv;;Aliança;Aliança 2 - Jovem & Adulto;Kroton - Graduação;Luis Claudio Soares Muller;;Restrito;Identificável
olimpo_producao_integracaoprotheus_nfse;;Aliança;Aliança 2 - Jovem & Adulto;Kroton - Graduação;Luis Claudio Soares Muller;;Restrito;Identificável
platos_mackenzie_empresa;;Aliança;Aliança 2 - Jovem & Adulto;Kroton - Graduação;Luis Claudio Soares Muller;;Restrito;Identificável
platos_stricto_empresa;;Aliança;Aliança 2 - Jovem & Adulto;Kroton - Graduação;Luis Claudio Soares Muller;;Restrito;Identificável
platos_upf_empresa_protheus;;Aliança;Aliança 2 - Jovem & Adulto;Kroton - Graduação;Luis Claudio Soares Muller;;Restrito;Identificável
platos_sing_empresa;;Aliança;Aliança 2 - Jovem & Adulto;Kroton - Graduação;Luis Claudio Soares Muller;;Restrito;Identificável
platos_prof_empresa;;Aliança;Aliança 2 - Jovem & Adulto;Kroton - Graduação;Luis Claudio Soares Muller;;Restrito;Identificável
platos_mackenzie_marca;;Aliança;Aliança 2 - Jovem & Adulto;Kroton - Graduação;Luis Claudio Soares Muller;;Restrito;Identificável
platos_stricto_marca;;Aliança;Aliança 2 - Jovem & Adulto;Kroton - Graduação;Luis Claudio Soares Muller;;Restrito;Identificável
platos_sing_marca;;Aliança;Aliança 2 - Jovem & Adulto;Kroton - Graduação;Luis Claudio Soares Muller;;Restrito;Identificável
platos_infoprod_marca;;Aliança;Aliança 2 - Jovem & Adulto;Kroton - Graduação;Luis Claudio Soares Muller;;Restrito;Identificável
